PUBLIC_NAM,Rec_count,Education_count,Facility_count,Maintenance_count,Aesthetic_count,Collisions_2011_2014,Incidents_2011_200m,Incidents_norm,sqm,violent_crimes_total,violent_crimes_sqm,narcotic_crimes,narcotic_crimes_sq_m,water_perc,tree_perc,grass_perc,built_perc,t_safety,t_recreation,t_amenities,t_landscape,t_accessibility,t_condition,t_size,t_aesthetic
Sergeant John J McVeigh Recreation Center,5,0,0,0,1,71,228,902.9449441,25576.87886,486,0.019001537,650,0.025413578,0.000839621,0.114746461,0.543419264,0.340994654,1.085820826,0.345287441,0.094375711,-0.167234287,-0.238308726,0.347671414,-0.084454013,-0.433250702
Malcolm X Memorial Park,1,0,0,1,0,66,139,551.0504466,25486.40119,433,0.016989452,461,0.018088078,0,0.672488727,0.131953108,0.195558165,0.26504152,-0.188528005,0.09880034,-0.081242209,-0.180652365,0.13408413,-0.029059893,-0.108549132
Joseph A Scanlon Playground,6,0,0,0,0,51,166,646.1834015,24857.29406,315,0.012672337,290,0.011666596,0,0.063854633,0.49781921,0.438326157,0.557151291,0.460262302,0.743308163,-0.284796359,0.06923908,0.798282756,-0.179368089,-0.078247643
Fairmount Water Works Historic Area,0,1,1,0,1,99,19,63.01970853,21808.9743,18,0.000825348,17,0.000779496,0,0.229604526,0.245066495,0.52532898,-0.058132493,-0.050413833,-0.135465352,0.266333162,-0.117078442,-0.172225063,-0.147443671,0.50848496
Boniface Piccoli Playground,7,0,0,0,0,43,88,353.1894402,24332.22332,171,0.007027718,23,0.000945249,0,0.077441192,0.385614607,0.5369442,0.399913589,-0.027666124,0.632810759,-0.233809694,-0.042750392,0.314875337,-0.207129378,-0.244228361
Mayfair Recreation Center,3,0,0,0,0,30,61,230.4575298,26204.73179,91,0.003472655,17,0.000648738,0,0.015205668,0.554427937,0.430366395,0.01041464,0.300692677,0.471804906,-0.231418434,-0.183518631,0.216494449,-0.04856596,-0.224054768
Cliveden Park,1,0,0,0,0,33,53,207.3823913,24089.01828,175,0.007264721,110,0.004566396,0,0.756382052,0.135681687,0.107936261,0.254605586,0.25691113,0.192043074,0.277930875,-0.097845155,0.626310759,-0.136483825,0.178573906
Helen G Sturgis Playground,6,0,0,0,0,17,28,112.8571336,23642.59386,41,0.001734158,15,0.000634448,0.002089102,0.505310655,0.243003853,0.24959639,0.373928961,-0.174375425,1.769716785,-0.244723836,-0.117130189,1.390172708,-0.246947968,-0.360993685
John L Barrett Playground,5,0,0,0,0,30,113,438.964624,23372.95931,349,0.014931785,156,0.006674379,0,0.207577199,0.552777506,0.239645295,0.612530886,0.029976734,0.644490133,-0.02530963,0.016507179,0.608654442,-0.107003361,-0.258704771
John J McCreesh Sr Playground,5,0,0,0,0,23,209,750.2752495,21439.42763,361,0.016838136,377,0.017584425,0,0.091581615,0.530929035,0.377489351,0.305567015,0.404935209,0.680104631,-0.236885785,-0.306971853,0.255873777,-0.143852865,-0.160526324
Parkside Evans Recreation Center,5,0,0,0,0,21,47,180.5894792,16242.68215,151,0.009296494,102,0.006279751,1.28E-05,0.329730075,0.10753486,0.562722272,0.094635321,0.498390205,1.000690581,0.026656166,-0.294782881,0.282049892,-0.048310083,-0.154866194
Franklin Delano Roosevelt Playground,5,0,0,1,0,37,83,339.5763917,22071.64797,119,0.005391532,18,0.000815526,0,0.066966079,0.578205032,0.354828889,0.459668694,0.32881784,0.697571102,-0.194537983,-0.059858868,0.457513255,-0.078272392,-0.349276657
A Albert Cherashore Playground,6,0,0,0,0,55,51,210.4935139,21207.84526,131,0.006176959,63,0.002970599,0,0.115752581,0.555398771,0.328848648,0.099251025,0.95751167,0.397577716,-0.305736139,-0.208181982,0.113282602,-0.211460677,-0.409801663
William T Granahan Playground,5,0,0,0,0,13,56,215.3519234,21483.23343,147,0.006842545,142,0.006609806,0,0.109802973,0.597523459,0.292673567,0.265566125,0.201660891,0.493554725,-0.21165408,-0.269529925,-0.045687149,-0.142172587,-0.257191371
George Connell Park,2,0,1,0,0,54,192,791.7439553,21532.78687,443,0.020573278,349,0.016207842,0,0.548069846,0.311535683,0.140394471,0.155299919,0.042727104,0.531023064,-0.213048353,-0.25033683,0.642004397,0.509728779,0.286354542
Lonnie Young Recreation Center of East Germantown,5,0,0,0,0,25,128,520.3281854,21161.01156,333,0.015736488,294,0.013893476,0,0.219939179,0.411834796,0.368226025,0.301178779,0.230332144,0.377504159,-0.132663504,-0.131507863,0.241038118,-0.245741174,-0.303394145
Eileen Fitzpatrick Playground,5,0,0,0,0,13,13,53.70067279,19995.07145,44,0.002200542,8,0.000400099,0,0.024457924,0.621099637,0.354442439,1.37102802,0.602715164,0.580962947,-0.206053188,0.495491129,0.56395152,0.54389275,-0.314042719
Waterview Recreation Center,6,0,0,0,1,50,72,296.6636417,20900.57718,205,0.009808342,282,0.01349245,0,0.155020517,0.455333408,0.389646075,0.435403707,0.310388548,0.378832488,-0.138919285,-0.26791689,0.426395845,-0.233774455,-0.350186333
Cohocksink Recreation Center,6,0,0,0,0,47,172,682.2444843,20706.24344,234,0.011300939,81,0.003911864,0,0.055336788,0.451878072,0.49278514,0.280499706,0.485781618,0.739383538,0.006427477,-0.008862407,0.263412193,-0.26855196,-0.307802893
McMichael Park,0,0,0,0,0,40,23,89.34019432,23648.35857,14,0.000592007,6,0.000253717,0,0.790083134,0.161387084,0.048529782,0.290793551,0.19227599,0.407440557,0.112930044,-0.114121184,0.417886436,0.040679126,0.107243961
Harrowgate Park,1,0,0,0,0,60,224,929.6668724,19879.28293,607,0.030534301,900,0.045273263,0,0.545807126,0.350365014,0.10382786,1.178670687,-0.062798986,0.021316292,-0.147648641,-0.171073468,0.558489571,-0.178464516,-0.184207949
48th and Woodland Playground,4,0,0,0,0,68,59,245.5710446,19613.49019,127,0.006475135,25,0.001274633,0,0.108577403,0.570946185,0.320476412,0.097929009,0.158493236,0.297197591,-0.194676827,-0.018864805,0.37074641,-0.02420116,-0.203506579
